seqnames	start	end	width	strand	log2FC	logCPM	F	PValue	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
XIV	413553	413654	102	+	-3.36932804591855	8.2945723432755	333.430144615896	9.44676066856847e-10	1.03566937843826e-07	Promoter	14	413639	416281	2643	1	YNL112W	YNL112W_mRNA	0
XIV	418491	418587	97	-	-1.63368126398867	8.2096605487324	58.539726714318	8.40718200010251e-06	5.62614369674088e-05	Promoter	14	417826	418488	663	2	YNL110C	YNL110C_mRNA	-99
XIV	426557	426946	390	-	1.20681408786091	9.17532458270669	43.4851236792409	3.39596914523825e-05	0.000166327154636699	Promoter	14	426719	426808	90	1	YNL103W-A	YNL103W-A_mRNA	0
XIV	427534	427629	96	+	1.02059984968492	6.68621538612915	12.4248152314905	0.00456048780965247	0.0101237836139457	Promoter	14	427735	429753	2019	1	YNL103W	YNL103W_mRNA	-106
XIV	444306	444399	94	-	-2.70589147033625	9.45291815664717	314.007569515256	1.31270826165022e-09	1.18289600022036e-07	Promoter	14	443398	444315	918	2	YNL096C	YNL096C_mRNA	0
XIV	449778	449870	93	+	2.42840202991658	6.99888263582486	110.577952494891	3.48402478217432e-07	4.69355669223319e-06	Promoter	14	449868	450530	663	1	YNL093W	YNL093W_mRNA	0
XIV	452244	452283	40	+	2.42598441773231	6.86229512517193	97.3060866350161	6.72476191043218e-07	7.73586086434113e-06	Promoter	14	452408	456130	3723	1	YNL091W	YNL091W_mRNA	-125
XIV	462266	462344	79	+	-7.88483829599697	5.43564852915178	71.6237059538748	1.13052949415165e-05	7.06181838066997e-05	Promoter	14	462411	465947	3537	1	YNL087W	YNL087W_mRNA	-67
XIV	466850	466895	46	+	-1.43883270624039	6.631920611253	10.0700574095031	0.00857639531800219	0.0174322220624055	Promoter	14	467131	469623	2493	1	YNL085W	YNL085W_mRNA	-236
XIV	48034	48075	42	-	-1.70243413240029	6.43185220361272	43.1903831615436	3.50323475471702e-05	0.000170297106058471	Promoter	14	45308	48022	2715	2	YNL313C	YNL313C_mRNA	-53
XIV	485516	485575	60	+	-1.79912524625875	7.25503266671328	85.7935572258107	1.27508128623566e-06	1.2662337834332e-05	Promoter	14	485607	486479	873	1	YNL075W	YNL075W_mRNA	-32
XIV	490253	490357	105	+	-1.4207287219405	7.91677108790131	71.853725594364	3.0932323180083e-06	2.5817613137956e-05	Promoter	14	490317	491240	924	1	YNL072W	YNL072W_mRNA	0
XIV	494986	495054	69	-	-1.99769178466441	7.81155579119272	132.735707686368	1.34511733856453e-07	2.27268783661632e-06	Promoter	14	493956	495001	1046	2	YNL069C	YNL069C_mRNA	0
XIV	498446	498580	135	-	-1.12388174641956	6.94396571256057	25.4789706726096	0.000342049392818274	0.00112384358234552	Promoter	14	498538	498684	147	1	YNL067W-A	YNL067W-A_mRNA	0
XIV	510241	510279	39	-	-1.7610364630262	6.38418934079596	19.2232550556453	0.00102018256816277	0.0028237817842321	Promoter	14	508776	510212	1437	2	YNL062C	YNL062C_mRNA	-67
XIV	510438	510542	105	+	-1.68882149778548	9.2028684932859	124.163361181139	1.90778413272373e-07	2.93906509238719e-06	Promoter	14	510540	512396	1857	1	YNL061W	YNL061W_mRNA	0
XIV	517206	517232	27	+	-1.39409226368516	5.19817282820847	10.2287635961304	0.00819925396254705	0.0167707313080092	Promoter	14	517249	517842	594	1	YNL056W	YNL056W_mRNA	-17
XIV	52408	52471	64	-	-1.07593081703528	6.53264628653817	9.98040424162905	0.00879853502760863	0.0178167588199516	Promoter	14	51907	52431	525	2	YNL310C	YNL310C_mRNA	0
XIV	52594	52653	60	+	-1.06426751632928	7.23976517188414	22.3017813833485	0.000580130947363824	0.00176102132867896	Promoter	14	52662	53924	1263	1	YNL309W	YNL309W_mRNA	-9
XIV	526018	526072	55	+	1.52215088202719	6.7619518153451	31.7896218209742	0.000136133183816453	0.00051550511474775	Promoter	14	526086	529583	3498	1	YNL054W	YNL054W_mRNA	-14
XIV	542953	543014	62	+	1.07409896502479	6.1465801199132	7.72766922903392	0.0174819896421711	0.032137272987837	Promoter	14	542963	544978	2016	1	YNL045W	YNL045W_mRNA	0
XIV	553314	553380	67	+	1.11531717448511	6.81912907565459	15.7049392285293	0.00210473870146003	0.00522800332889458	Promoter	14	553380	554750	1371	1	YNL040W	YNL040W_mRNA	0
XIV	556989	557061	73	+	-1.29691491128094	7.05079602164882	23.5694104634779	0.000467058716042775	0.00146626304017042	Promoter	14	557020	557783	764	1	YNL038W	YNL038W_mRNA	0
XIV	558996	559204	209	-	1.58150439156379	9.10546597938922	118.301512509477	2.45463080362802e-07	3.55483139596844e-06	Promoter	14	557920	559002	1083	2	YNL037C	YNL037C_mRNA	0
XIV	559638	559666	29	+	-3.65031211783363	4.75755822707974	22.3934085082952	0.000570947891824572	0.00173759690121546	Promoter	14	559814	560479	666	1	YNL036W	YNL036W_mRNA	-148
XIV	585587	585609	23	+	-1.00541617877342	6.6417648396667	18.2892965864549	0.00122531503048166	0.00328978169565073	Promoter	14	585587	585926	340	1	NME1	NME1_snoRNA	0
XIV	592897	592936	40	-	-1.07664908622971	6.76216046264656	20.693793300938	0.000773524850194524	0.00224045947681343	Promoter	14	591427	592899	1473	2	YNL022C	YNL022C_mRNA	0
XIV	59799	59831	33	-	1.19641865424992	6.9883819547383	20.6321492330685	0.000782339016165736	0.00225658663465469	Promoter	14	58898	59791	894	2	YNL305C	YNL305C_mRNA	-40
XIV	602800	602880	81	+	-1.33125044304486	6.59955859517534	16.4082010449736	0.00180698770533163	0.00458842761155969	Promoter	14	602907	604268	1362	1	YNL016W	YNL016W_mRNA	-27
XIV	605211	605516	306	+	1.73316438394482	10.9418254134908	103.156464139144	4.98509611887911e-07	6.25192724599633e-06	Promoter	14	605384	605611	228	1	YNL015W	YNL015W_mRNA	0
XIV	606237	606267	31	+	7.373205637076	5.34350451414492	50.6972986997317	4.64144454854196e-05	0.000213875655049291	Promoter	14	606319	609453	3135	1	YNL014W	YNL014W_mRNA	-52
XIV	613190	613195	6	-	-2.37701541333236	5.39715988375117	25.7393457396683	0.000328255671469986	0.00108881533563255	Promoter	14	611836	613170	1335	2	YNL011C	YNL011C_mRNA	-25
XIV	614776	614823	48	+	9.25527255415824	6.99219991518452	287.335171998396	2.56632771773616e-08	6.78682101875225e-07	Promoter	14	614821	616083	1263	1	YNL009W	YNL009W_mRNA	0
XIV	618227	618281	55	-	1.45797272343509	5.94282298979868	9.90214870949739	0.00899803343506631	0.0181501339625612	Promoter	14	616211	618241	2031	2	YNL008C	YNL008C_mRNA	0
XIV	627150	627214	65	-	-1.21694473789184	9.48961242261603	70.0257228893441	3.51295693627426e-06	2.84426762926965e-05	Promoter	14	626174	627142	969	2	YNL002C	YNL002C_mRNA	-72
XIV	62947	62985	39	-	-2.63528793435849	8.4221458945089	145.811880581497	8.20224092593466e-08	1.55906657599992e-06	Promoter	14	61958	62943	986	2	YNL302C	YNL302C_mRNA	-42
XIV	631008	631303	296	-	1.00641969228965	9.46737547211407	58.9259758288471	8.1453106806983e-06	5.51252875831404e-05	Promoter	14	629622	631061	1440	2	YNR001C	YNR001C_mRNA	0
XIV	633854	633967	114	-	5.44322892981794	7.53444501788884	141.517472009987	9.60361073354927e-08	1.77685056385744e-06	Promoter	14	633008	633856	849	2	YNR002C	YNR002C_mRNA	0
XIV	635301	635360	60	-	-1.20642693385669	7.32247879763217	15.9773172421578	0.0019830076566056	0.00497643901858837	Promoter	14	634344	635297	954	2	YNR003C	YNR003C_mRNA	-63
XIV	640132	640235	104	-	1.33342678676891	7.00604381251677	32.9849815947392	0.000116157205145202	0.000450016688086428	Promoter	14	639182	640114	933	2	YNR007C	YNR007C_mRNA	-121
XIV	64571	64645	75	-	-2.30729142749541	8.11819564883985	162.991370644532	4.54502958294181e-08	9.96221349125894e-07	Promoter	14	63570	64562	993	2	YNL301C	YNL301C_mRNA	-83
XIV	651715	651759	45	-	-1.16767592467898	6.40926383913581	15.4357469978454	0.00223381248569452	0.00551203425729692	Promoter	14	649028	651712	2685	2	YNR013C	YNR013C_mRNA	-47
XIV	652411	652474	64	+	-6.04340694662341	7.158091847618	129.62071367884	1.52346062539476e-07	2.4710531343903e-06	Promoter	14	652465	653103	639	1	YNR014W	YNR014W_mRNA	0
XIV	653353	653387	35	+	-2.21101506825776	6.32467858001935	24.0089741087696	0.00043406695683066	0.00137690339761277	Promoter	14	653387	654541	1155	1	YNR015W	YNR015W_mRNA	0
XIV	65614	65662	49	+	-3.78589782641648	7.95663839499779	187.090421867093	2.17643191179978e-08	6.12168652185996e-07	Promoter	14	65744	66052	309	1	YNL300W	YNL300W_mRNA	-82
XIV	664202	664297	96	+	-1.31848954327127	7.98913779563517	67.8639184804552	4.09894049596904e-06	3.19127111254166e-05	Promoter	14	664270	664944	675	1	YNR018W	YNR018W_mRNA	0
XIV	668315	668353	39	+	-1.04878286512125	6.81692320235924	20.5412251302451	0.000795556973110124	0.00228615665378036	Promoter	14	668377	669591	1215	1	YNR021W	YNR021W_mRNA	-24
XIV	674881	674919	39	+	-2.00614498844242	5.29381557497776	16.9315966105797	0.00161738764629654	0.00417961141098194	Promoter	14	674923	675876	954	1	YNR027W	YNR027W_mRNA	-4
XIV	685866	685939	74	+	1.02677852615428	5.62359879500795	6.47240238597892	0.0267598446804011	0.0461913459435373	Promoter	14	686010	687116	1107	1	YNR032W	YNR032W_mRNA	-71
XIV	692355	692412	58	+	1.99337336756606	6.79665490986762	39.717371112824	5.12256680680725e-05	0.000232522482107501	Promoter	14	692561	692857	297	1	YNR034W-A	YNR034W-A_mRNA	-149
XIV	692454	692517	64	+	2.33171045181253	8.85548461075216	239.642466321832	5.72759254158902e-09	2.40262631960105e-07	Promoter	14	692561	692857	297	1	YNR034W-A	YNR034W-A_mRNA	-44
XIV	694781	694879	99	-	1.12772385548612	7.20743773921448	27.9791706089109	0.000233144317392714	0.000817348882156301	Promoter	14	694361	694822	462	2	YNR036C	YNR036C_mRNA	0
XIV	701833	701889	57	+	-1.39983335982105	6.88412976682015	30.0122428706378	0.000173850569513869	0.000636536396730239	Promoter	14	701895	703085	1191	1	YNR043W	YNR043W_mRNA	-6
XIV	703658	703658	1	+	-7.96348028827691	5.50612653040137	96.1150130690402	3.25968592906226e-06	2.69967770091069e-05	Promoter	14	703699	705876	2178	1	YNR044W	YNR044W_mRNA	-41
XIV	707731	707799	69	+	-1.31522810902015	7.6190181513678	47.3406208976	2.29526900283862e-05	0.000122599110513861	Promoter	14	707788	708195	408	1	YNR046W	YNR046W_mRNA	0
XIV	715427	715484	58	-	-2.24788120439284	6.07685896859492	32.4390882633258	0.000124818285732327	0.000478995093354497	Promoter	14	714048	715388	1341	2	YNR050C	YNR050C_mRNA	-96
XIV	716115	716117	3	+	-3.49937731135758	5.08322603201262	31.8875606735781	0.000134351846796908	0.000509950145486547	Promoter	14	716120	716284	165	1	snR49	snR49_snoRNA	-3
XIV	720686	720782	97	-	-1.2070713143964	7.67446503307659	31.7466432144717	0.000136923663943693	0.000518095294517891	Promoter	14	719346	720647	1302	2	YNR052C	YNR052C_mRNA	-135
XIV	723136	723166	31	-	-3.55396416402622	6.4335376215595	72.4369595395524	2.97194048793704e-06	2.4933555886727e-05	Promoter	14	721120	723112	1993	2	YNR053C	YNR053C_mRNA	-54
XIV	724285	724366	82	-	-2.05376004736763	9.45731487785589	264.120310319941	3.37656907454838e-09	1.76788574584138e-07	Promoter	14	723356	724306	951	2	YNR054C	YNR054C_mRNA	0
XIV	779892	779918	27	+	-2.15873824257174	5.76992818777661	11.841313864187	0.00529735216979082	0.0115098740218742	Promoter	14	779916	781040	1125	1	YNR075W	YNR075W_mRNA	0
XIV	80560	80684	125	+	1.0426123485376	7.52857259419677	14.0584968655153	0.00306089467079364	0.00720835925435726	Promoter	14	80640	82541	1902	1	YNL293W	YNL293W_mRNA	0
XV	1015043	1015056	14	-	-2.67973317933908	5.95613454004369	49.4654680788385	1.87019836617772e-05	0.000104004402855095	Promoter	15	1013241	1014821	1581	2	YOR360C	YOR360C_mRNA	-235
XV	1023192	1023295	104	-	1.41149302581488	6.6135982733134	20.0437847024033	0.000872713053674197	0.00247760893767715	Promoter	15	1020222	1023212	2991	2	YOR363C	YOR363C_mRNA	0
XV	1028635	1028744	110	-	-2.88944927291113	7.92883205392351	145.394079151498	8.32748404163218e-08	1.57671351543121e-06	Promoter	15	1028194	1028625	432	2	YOR369C	YOR369C_mRNA	-119
XV	1034237	1034318	82	-	1.30421820965391	6.95710710501107	23.6545478293574	0.000460443958742531	0.00144736453697749	Promoter	15	1031489	1034182	2694	2	YOR371C	YOR371C_mRNA	-136
XV	1039765	1039898	134	+	2.55283925369796	9.87784355212267	322.538585182927	1.13339948126423e-09	1.07711743746179e-07	Promoter	15	1039840	1041399	1560	1	YOR374W	YOR374W_mRNA	0
XV	1043089	1043118	30	-	-2.45924840821997	6.63081155458159	73.0394271396063	2.85248240078437e-06	2.4055770125159e-05	Promoter	15	1041678	1043042	1365	2	YOR375C	YOR375C_mRNA	-76
XV	1046151	1046299	149	+	-10.1517634895041	7.646162841902	259.944794708215	4.03564346001297e-08	9.26294390397316e-07	Promoter	15	1046226	1047803	1578	1	YOR377W	YOR377W_mRNA	0
XV	1060827	1061160	334	-	1.74328230579368	10.4173353415429	86.9370984986625	1.19258171693607e-06	1.22170581781282e-05	Promoter	15	1060441	1061055	615	2	YOR383C	YOR383C_mRNA	0
XV	1061449	1061555	107	+	2.40969405656435	5.71189334013343	29.9745173450442	0.000174775836672873	0.000639443023496389	Promoter	15	1061564	1063648	2085	1	YOR384W	YOR384W_mRNA	-9
XV	1064991	1065073	83	+	-1.48269484567338	7.03086909799713	48.6423671542351	2.02283535038282e-05	0.000111096126579715	Promoter	15	1065043	1065915	873	1	YOR385W	YOR385W_mRNA	0
XV	117941	117999	59	+	1.9388516877211	7.16138393491483	84.0908272978023	1.41071712122234e-06	1.35395453882996e-05	Promoter	15	118000	119322	1323	1	YOL103W-A	YOL103W-A	-1
XV	127900	127983	84	-	-2.13019377246932	6.82278245168328	50.2035953312766	1.74473770983988e-05	9.81490600702989e-05	Promoter	15	126982	127920	939	2	YOL101C	YOL101C_mRNA	0
XV	137826	137853	28	-	-1.86166071064865	7.32138781162615	77.919714689694	2.06763139790878e-06	1.84607236371085e-05	Promoter	15	136527	137825	1299	2	YOL097C	YOL097C_mRNA	-28
XV	144160	144184	25	+	-1.26041131486501	6.01732713328461	19.1053076485644	0.00104371777321353	0.0028742109136712	Promoter	15	144204	145130	927	1	YOL092W	YOL092W_mRNA	-20
XV	153524	153564	41	-	1.11031648626144	6.08492800574179	6.85861199919534	0.0233855225549417	0.0409772966339022	Promoter	15	150398	153490	3093	2	YOL089C	YOL089C_mRNA	-74
XV	159105	159163	59	+	4.15792809653064	5.89499669529288	38.59754005585	5.8231689534224e-05	0.000256662501153564	Promoter	15	159173	159445	273	1	YOL086W-A	YOL086W-A_mRNA	-10
XV	160588	160644	57	-	-2.48299842330657	8.9677525865196	289.054838399898	2.06463380304223e-09	1.41330382863575e-07	Promoter	15	159548	160594	1047	2	YOL086C	YOL086C_mRNA	0
XV	161457	161494	38	+	-7.50684184104454	5.09733538321089	77.0057794882189	8.34847511756307e-06	5.61364216969791e-05	Promoter	15	161579	161791	213	1	YOL085W-A	YOL085W-A_mRNA	-85
XV	162230	162321	92	+	4.30329350200362	6.87354157004464	99.5402331394313	5.98708712670681e-07	7.15215820134561e-06	Promoter	15	162356	165331	2976	1	YOL084W	YOL084W_mRNA	-35
XV	165585	165648	64	+	2.58655911713102	5.9381431307555	19.5754128124367	0.000953549383903693	0.00267742140916063	Promoter	15	165714	166952	1239	1	YOL083W	YOL083W_mRNA	-66
XV	168634	168760	127	+	1.25671857604519	9.2486367764232	55.4795829074083	1.08728098880274e-05	6.82672166646986e-05	Promoter	15	168727	169974	1248	1	YOL082W	YOL082W_mRNA	0
XV	185388	185444	57	+	1.58175720151792	8.31055820363266	105.588762025859	4.42167169053125e-07	5.75290225832221e-06	Promoter	15	185438	185644	207	1	YOL077W-A	YOL077W-A_mRNA	0
XV	186731	186804	74	-	-2.44569335875763	6.91280647055149	99.181173835161	6.09896064004619e-07	7.22081325412768e-06	Promoter	15	185848	186723	876	2	YOL077C	YOL077C_mRNA	-81
XV	186999	187002	4	+	-1.26259365648876	5.03833821609668	6.48133376890236	0.0266754781794664	0.0460620570692986	Promoter	15	187024	189414	2391	1	YOL076W	YOL076W_mRNA	-22
XV	212181	212252	72	+	-1.06958584970021	6.14631771312665	11.9246154651568	0.00518396701034515	0.01130160549836	Promoter	15	212244	213734	1491	1	YOL061W	YOL061W_mRNA	0
XV	219131	219152	22	+	-2.66728384642213	6.66118567284333	55.4967600786381	1.08567649541097e-05	6.82545455642093e-05	Promoter	15	219211	220473	1263	1	YOL058W	YOL058W_mRNA	-59
XV	223174	223239	66	+	-3.52435538018338	6.23869363709237	35.3595368711872	8.58330006251228e-05	0.000352067945316579	Promoter	15	223268	224179	912	1	YOL056W	YOL056W_mRNA	-29
XV	226110	226157	48	-	6.95005681772972	4.97467429749691	45.9032284846983	6.88500606727614e-05	0.000291579108123287	Promoter	15	224420	226075	1656	2	YOL055C	YOL055C_mRNA	-82
XV	231662	231843	182	-	2.22678320015555	9.66790382948252	270.619809767235	2.95784477161339e-09	1.72210606060209e-07	Promoter	15	231570	231755	186	2	YOL052C-A	YOL052C-A_mRNA	0
XV	233646	233658	13	-	-7.03244671272609	4.71227586769797	52.5510036905509	4.01924709306277e-05	0.00019024957543622	Promoter	15	232446	233636	1191	2	YOL052C	YOL052C_mRNA	-22
XV	243375	243415	41	+	7.6200487759816	5.54378212119634	73.151377203149	1.03520603159365e-05	6.58472228723489e-05	Promoter	15	243497	246802	3306	1	YOL045W	YOL045W_mRNA	-82
XV	247082	247111	30	+	2.19127308096941	5.83345692390688	13.9018920361865	0.00317623072602596	0.00742340956428547	Promoter	15	247150	248301	1152	1	YOL044W	YOL044W_mRNA	-39
XV	252670	252723	54	-	-1.5289087293463	7.34140963706572	49.5331502899022	1.85826174664433e-05	0.000103577338593027	Promoter	15	251267	252646	1380	2	YOL041C	YOL041C_mRNA	-77
XV	253415	253694	280	-	-2.31560203550354	10.5879505999126	266.907652096024	3.18897722608578e-09	1.76335945251516e-07	Promoter	15	253149	253577	429	2	YOL040C	YOL040C_mRNA	0
XV	254129	254323	195	+	-1.55440631097485	10.2605280955508	77.6703952034418	2.10098482246935e-06	1.86388231738927e-05	Promoter	15	254297	254617	321	1	YOL039W	YOL039W_mRNA	0
XV	255080	255199	120	-	1.28877696694689	7.58016639717048	32.8024617662651	0.000118971853101449	0.000459786112665793	Promoter	15	254926	255021	96	2	YOL038C-A	YOL038C-A_mRNA	-178
XV	255283	255334	52	+	1.46693230065512	7.16459674061907	21.4405643477499	0.000675529745445711	0.00200190483638175	Promoter	15	255337	256101	765	1	YOL038W	YOL038W_mRNA	-3
XV	267503	267604	102	-	2.16466883754487	6.49582879772963	52.0449812842453	1.47257000976069e-05	8.6383274887806e-05	Promoter	15	266264	267529	1266	2	YOL031C	YOL031C_mRNA	0
XV	299491	299554	64	+	-9.31071341584363	6.80148473385279	299.151102563241	2.13827502712006e-08	6.04932923370129e-07	Promoter	15	299693	300067	375	1	YOL014W	YOL014W_mRNA	-139
XV	303168	303196	29	-	1.19319134810276	5.75333328932979	9.51052325338905	0.0100809147539443	0.0200382888859039	Promoter	15	301380	303035	1656	2	YOL013C	YOL013C_mRNA	-161
XV	305299	305328	30	+	-2.78861573165464	4.78512455081428	15.8594388934049	0.00203464043964779	0.0050798154845183	Promoter	15	305349	307409	2061	1	YOL011W	YOL011W_mRNA	-21
XV	310115	310194	80	-	1.40317101969564	6.97153568891189	22.1973903708954	0.000590806277389982	0.00179064686347252	Promoter	15	309324	310139	816	2	YOL009C	YOL009C_mRNA	0
XV	312436	312452	17	-	-3.91471306299949	4.96217300082683	25.01962644674	0.000368086583859764	0.0011956671008422	Promoter	15	311342	312367	1026	2	YOL007C	YOL007C_mRNA	-85
XV	31646	31692	47	-	1.49230738977318	7.78852204167059	21.0490358595446	0.000724953893241402	0.00212379629410756	Promoter	15	28703	31606	2904	2	YOL155C	YOL155C_mRNA	-86
XV	333527	333561	35	+	-3.59377811547333	5.19542390177591	34.0150531156196	0.000101666801567569	0.000403516032975359	Promoter	15	333592	334356	765	1	YOR004W	YOR004W_mRNA	-31
XV	338636	338688	53	-	-1.16695711088228	5.85031150609023	11.4314327324225	0.00589994398277707	0.0126305004048364	Promoter	15	337680	338621	942	2	YOR006C	YOR006C_mRNA	-67
XV	371598	371696	99	+	3.0340410692787	7.75050908125511	210.882328117181	1.14348483074203e-08	3.97442656170766e-07	Promoter	15	371685	371957	273	1	YOR020W-A	YOR020W-A_mRNA	0
XV	400080	400161	82	-	1.16468916498832	7.60466191260583	28.6721880017221	0.000210585512580586	0.000752356170497159	Promoter	15	397735	400104	2370	2	YOR035C	YOR035C_mRNA	0
XV	406995	407096	102	+	2.80882085497268	6.85316855264413	55.806072482504	1.05725558850476e-05	6.66399701251833e-05	Promoter	15	407064	407921	858	1	YOR040W	YOR040W_mRNA	0
XV	412761	412767	7	+	-1.39229695584885	5.83083406979446	13.5192959506424	0.00348031330268621	0.00803377824045117	Promoter	15	413007	413480	474	1	YOR044W	YOR044W_mRNA	-240
XV	415920	415956	37	-	-1.33203998741672	7.53176419139988	20.8870729449905	0.000746638372285206	0.00217423238751635	Promoter	15	414459	415907	1449	2	YOR046C	YOR046C_mRNA	-49
XV	417776	417842	67	-	-3.10565359964786	7.74571239717263	295.837551306276	1.81888735913341e-09	1.38292279524112e-07	Promoter	15	416347	417681	1335	2	YOR047C	YOR047C_mRNA	-161
XV	423917	423933	17	-	-6.7578271101994	4.49671356539071	47.468684251451	6.03074614640797e-05	0.000264136910426833	Promoter	15	422668	423732	1065	2	YOR049C	YOR049C_mRNA	-201
XV	426092	426174	83	-	-2.61877216978842	7.08270758804244	94.4999380649687	7.80841940844793e-07	8.77500435138744e-06	Promoter	15	424846	426084	1239	2	YOR051C	YOR051C_mRNA	-90
XV	429855	430018	164	-	2.09144948058824	8.08308043210019	31.4396443161093	0.000142730094010343	0.000537367339626495	Promoter	15	427833	429857	2025	2	YOR054C	YOR054C_mRNA	0
XV	431675	431751	77	-	-1.7326559748286	6.87375679076675	48.739854463353	2.00401124327536e-05	0.000110311297621922	Promoter	15	430247	431626	1380	2	YOR056C	YOR056C_mRNA	-125
XV	43646	43690	45	+	3.7466054290514	7.20247069145344	69.8114387631015	3.56642300601436e-06	2.87238185353545e-05	Promoter	15	43694	44722	1029	1	YOL151W	YOL151W_mRNA	-4
XV	444598	444717	120	+	-2.46772971544368	9.3344226227762	200.213014329876	1.51238355491363e-08	4.77485687535612e-07	Promoter	15	444686	445849	1164	1	YOR063W	YOR063W_mRNA	0
XV	446712	446820	109	-	1.06445968387582	7.76872915387511	22.7142126362403	0.000540119118892742	0.00165818273345873	Promoter	15	446079	446738	660	2	YOR064C	YOR064C_mRNA	0
XV	449317	449339	23	+	-1.63878203646497	5.50630116263985	17.2304232082328	0.00151968900416912	0.00395733377628707	Promoter	15	449436	451325	1890	1	YOR066W	YOR066W_mRNA	-97
XV	468180	468207	28	+	1.23214360017783	6.24790520061918	8.99328992150247	0.0117580872739071	0.0227476212559623	Promoter	15	468212	469252	1041	1	YOR075W	YOR075W_mRNA	-5
XV	471627	471661	35	-	1.32085219983641	6.51794444267212	20.2196007763859	0.000844474643411952	0.00240868324433913	Promoter	15	469377	471620	2244	2	YOR076C	YOR076C_mRNA	-41
XV	472642	472752	111	+	-2.04727308416276	8.74191712047899	78.6933582775489	1.96803205585042e-06	1.77670574837999e-05	Promoter	15	472725	473369	645	1	YOR078W	YOR078W_mRNA	0
XV	474588	474770	183	+	1.10051064032684	6.49350704450557	11.5039060845754	0.00578771228406398	0.0124120793187551	Promoter	15	474594	476792	2199	1	YOR080W	YOR080W_mRNA	0
XV	48636	48695	60	-	2.76728683962184	6.0918476411566	56.1161530663429	1.02963905765015e-05	6.56647923266792e-05	Promoter	15	47933	48643	711	2	YOL147C	YOL147C_mRNA	0
XV	502471	502499	29	-	-1.15894099966199	6.63952735367787	14.4112150762568	0.00281877202718657	0.00672689783437462	Promoter	15	497506	502452	4947	2	YOR093C	YOR093C_mRNA	-47
XV	505695	505787	93	+	-3.41376256388489	8.3006662568835	299.042965880977	1.71482086138181e-09	1.35376287501253e-07	Promoter	15	505794	506767	974	1	YOR096W	YOR096W_mRNA	-7
XV	507509	507639	131	-	1.0701919571917	7.1463755799293	18.7700419369613	0.00111419835294174	0.0030388475664446	Promoter	15	506978	507505	528	2	YOR097C	YOR097C_mRNA	-134
XV	514287	514349	63	-	8.62625259873308	6.42263185225204	168.332824942028	2.82273265514625e-07	3.96977372830684e-06	Promoter	15	513295	514278	984	2	YOR100C	YOR100C_mRNA	-71
XV	515143	515182	40	+	-1.55323691263585	5.83390324252344	20.1848469948675	0.00084997007927879	0.0024215189729336	Promoter	15	515244	516173	930	1	YOR101W	YOR101W_mRNA	-62
XV	522986	523019	34	+	-7.04876929152169	4.71646133373849	53.0778753353415	3.86123019977197e-05	0.000184203393647945	Promoter	15	523027	524841	1815	1	YOR108W	YOR108W_mRNA	-8
XV	53037	53097	61	+	-1.4885877279513	7.7493804156711	61.9220667822813	6.40978808514359e-06	4.56662208232924e-05	Promoter	15	53098	54552	1455	1	YOL144W	YOL144W_mRNA	-1
XV	544341	544359	19	-	-1.25395411946527	6.13220232856519	14.5458922919245	0.00273234356895782	0.0065398838202404	Promoter	15	539763	544145	4383	2	YOR116C	YOR116C_mRNA	-214
XV	551007	551108	102	+	3.46168678839244	7.62305000896455	184.281620554236	2.36017835863987e-08	6.34509828350365e-07	Promoter	15	551114	552052	939	1	YOR120W	YOR120W_mRNA	-6
XV	55129	55194	66	-	-1.01694277092066	8.3421338412339	47.5153580892152	2.25629570032736e-05	0.000120782561911914	Promoter	15	54595	55104	510	2	YOL143C	YOL143C_mRNA	-90
XV	566204	566275	72	-	-1.11331051733739	7.94042866322917	49.7387508812406	1.82254767122821e-05	0.000101819942229581	Promoter	15	564476	566191	1716	2	YOR128C	YOR128C_mRNA	-84
XV	570812	570905	94	-	-2.71327692676754	5.58926246597548	23.8146425387201	0.000448302027309825	0.00141376387873598	Promoter	15	569929	570807	879	2	YOR130C	YOR130C_mRNA	-98
XV	574996	575068	73	+	-1.49021795389786	7.22611270055886	37.1282971028465	6.9211501707649e-05	0.000292854928095148	Promoter	15	575098	577626	2529	1	YOR133W	YOR133W_mRNA	-30
XV	578433	578474	42	+	2.66074957264144	7.00457903597512	67.4262112842308	4.23119109812696e-06	3.24747253682741e-05	Promoter	15	578564	579793	1230	1	YOR134W	YOR134W_mRNA	-90
XV	580120	580223	104	+	1.22017211456112	8.43798591303862	39.4536550834669	5.27818414907923e-05	0.000237591527006656	Promoter	15	580250	581359	1110	1	YOR136W	YOR136W_mRNA	-27
XV	592829	592895	67	+	1.48046980958472	7.99464575281753	69.1424261121341	3.73961913356897e-06	2.96367861627795e-05	Promoter	15	593057	594046	990	1	YOR142W	YOR142W_mRNA	-162
XV	606187	606249	63	-	-1.05716893068572	8.13563375145144	56.237489156277	1.01906431288505e-05	6.50756817125806e-05	Promoter	15	605347	606171	825	2	YOR145C	YOR145C_mRNA	-78
XV	606568	606582	15	+	2.87583842697482	5.66585368018116	26.1573835893863	0.000307455960758479	0.00103249185993841	Promoter	15	606607	608475	1869	1	YOR147W	YOR147W_mRNA	-25
XV	61051	61118	68	-	-1.07034436227102	7.68402207520089	32.2731357310648	0.000127600549296852	0.000487748839653167	Promoter	15	60383	61024	642	2	YOL139C	YOL139C_mRNA	-94
